Name	R_Count	Yelp_Rating	WR
Skyline College Cafeteria	12.0	2.0	3.73980659131
Specialty's Cafe & Bakery	29.0	3.0	3.73773952302
Cafe Med	99.0	3.5	3.73160265594
Spiro	100.0	3.5	3.73094093407
Cafe Underwood	104.0	3.5	3.72833143199
Fountain Cafe	105.0	3.5	3.72768824485
A.G. Ferrari Foods	111.0	3.5	3.7239039527
Cafe Rosso	114.0	3.5	3.72205859045
Cafe Cole	117.0	3.5	3.72024339761
H2O Cafe	36.0	3.0	3.71968296127
Saint Anna Cafe Shop	120.0	3.5	3.71845764033
Mission Heirloom Cafe	124.0	3.5	3.71612119498
Eden Plaza Cafe	38.0	3.0	3.71468516293
Specialty's Cafe & Bakery	132.0	3.5	3.71159509666
Gaslamp Cafe	133.0	3.5	3.71104262904
One More Cup Cafe	136.0	3.5	3.70940240136
Cafe Lizzi	137.0	3.5	3.70886130988
The Pastry Cupboard	137.0	3.5	3.70886130988
Townie	138.0	3.5	3.70832300753
Cafe Mario	41.0	3.0	3.70731727465
Caffe Pazzo	141.0	3.5	3.70672462129
Murata's Cafe Hana	141.0	3.5	3.70672462129
Caffe Union	146.0	3.5	3.70411446193
Moonlight Cafe	152.0	3.5	3.70106797742
La Victoria Mexican Bakery & Cafe	152.0	3.5	3.70106797742
Ovo Cafe	160.0	3.5	3.69714469981
Lindgren's Coffee and Cafe	165.0	3.5	3.69476946247
Sweetheart Cafe	167.0	3.5	3.69383531636
Blue Barn Gourmet	168.0	3.5	3.69337159551
Yali's Oxford Street Cafe	171.0	3.5	3.69199365065
Caffe Terzetto	50.0	3.0	3.68609775641
Golden Bear Cafe	50.0	3.0	3.68609775641
Westlake Coffee Shop	52.0	3.0	3.68155406266
Albert's Cafe	198.0	3.5	3.68042260474
Cable Car Cafe	204.0	3.5	3.67803816503
Bona Vita Cafe	31.0	2.5	3.67732856556
A. G. Ferrari Foods	207.0	3.5	3.67686942434
Vinyl Coffee & Wine Bar	210.0	3.5	3.67571592809
Panera Bread	56.0	3.0	3.67264485923
Yummy Guide	223.0	3.5	3.67088652626
Espresso Roma	244.0	3.5	3.66362211928
Precita Park Cafe	248.0	3.5	3.66230788539
Corner Bakery Cafe	61.0	3.0	3.66183063319
Le Marais Bakery	254.0	3.5	3.66037564866
Bio	263.0	3.5	3.65756204079
My Favorite Cafe	288.0	3.5	3.65024038462
Momi Toby's Revolution Cafe & Art Bar	306.0	3.5	3.64537648727
La Boulange de Sutter	316.0	3.5	3.6428079981
Cafe La Renaissance	71.0	3.0	3.64121285646
Sweetheart Cafe	328.0	3.5	3.63984312616
Stable Cafe	345.0	3.5	3.63584760827
Cafe Milano	346.0	3.5	3.63561967605
Cafe Jolie	352.0	3.5	3.63426798492
People's Cafe	375.0	3.5	3.62932692308
Cafe Bakery & Restaurant	381.0	3.5	3.62809719005
Cowgirl Creamery Sidekick & Milk Bar	397.0	3.5	3.62492940792
Raphael's Shutter Cafe	81.0	3.0	3.62184086684
Jim's Coffee Shop	454.0	3.5	3.61481438483
E Plus Studio Karaoke & Cafe	93.0	3.0	3.60008550123
Cock-A-Doodle Cafe	612.0	3.5	3.59376952079
The Grove Hayes	619.0	3.5	3.59301418518
Brainwash Cafe & Laundromat	628.0	3.5	3.59206073681
UCafe	101.0	3.0	3.58640833881
Kowloon Tong Dessert Cafe	705.0	3.5	3.58463803866
Rose's Cafe	728.0	3.5	3.58264757354
International House Cafe	106.0	3.0	3.57817226664
Café Flore	860.0	3.5	3.57281921344
The Grove Yerba Buena	1123.0	3.5	3.55887059499
The Grove Fillmore	1195.0	3.5	3.55593725047
Depot Bookstore & Cafe	122.0	3.0	3.55330464227
Prince Cooking	123.0	3.0	3.5518212518
Purple Kow	1840.0	3.5	3.5386743191
Alcatraz Landing Cafe	47.0	2.0	3.53477887853
Bridgeway Cafe	146.0	3.0	3.51977102758
Westside Cafe	150.0	3.0	3.51457331731
La Boulange du Dome	156.0	3.0	3.50696878552
Quickly	55.0	2.0	3.49452238335
Dogpatch Bakehouse Caffe	85.0	2.5	3.48755022962
Il Fornaio	394.0	3.0	3.31961075609
Rigolo Café	431.0	3.0	3.30224570767
Cafe 88	164.0	2.5	3.2991046544
Quickly	172.0	2.5	3.283955751
